4771,46955
4770,46972
4769,46930
4770,46988
4769,46948
4769,46970
4770,46986
4769,46996
4768,46947
4769,46947
4770,46968
4770,46977
4771,46999
4769,46951
4770,46957
4771,46975
4771,46965
4771,46994
4769,46960
4770,46959
4771,46965
4769,46955
4768,46953
4770,46941
4771,46960
4770,47003
4770,47000
4770,46965
4770,46974
4770,46962
4770,47016
4771,46947
4768,46950
4769,46976
4770,46977
4770,46974
4771,46946
4771,46995
4771,46938
4768,46988
4770,46919
4771,46963
4768,46953
4770,46946
4769,46984
4769,46931
4768,46982
4770,46936
4769,46930
4768,46967
4770,46937
4768,46974
4769,46959
4770,46986
4769,46961
4769,46948
4769,46984
4770,46973
4770,47004
4768,46964
4770,46947
4770,46951
4770,46950
4768,46963
4770,46985
4767,46954
4768,46969
4770,46945
4771,46954
4769,46966
4769,47002
4770,46932
4769,46952
4769,46962
4770,46969
4770,46981
4771,46970
4770,46961
4770,46951
4771,46995
4769,46979
4771,46951
4772,46959
4770,46939
4770,46954
4769,46959
4770,46990
4770,46947
4770,46966
4771,46962
4770,46950
4770,46955
4770,46947
4770,46986
4770,46970
4771,46943
4771,46926
4771,46966
4769,47001
4770,46939
4770,46974
4770,46914
4770,46959
4769,46978
4770,46981
4770,46968
4767,46967
4769,46993
4771,46949
4770,46980
4770,46984
4769,46982
4771,46983
4770,47001
4769,47003
4772,47005
4768,47012
4770,46986
4770,46955
4770,46962
4769,46957
4770,46958
4769,46960
4770,46991
4769,46945
4770,46977
4769,46989
4769,46954
4768,46991
4773,47013
4769,46957
4770,46981
4770,46983
4770,46979
4768,46981
4769,46958
4767,46970
4767,46959
4770,46931
4769,46949
4771,46979
4770,46943
4770,46998
4771,46971
4767,46916
4770,46965
4770,46970
4770,46964
4770,46978
4770,46972
4770,46972
4768,46972
4771,46948
4770,46933
4770,46950
4770,46935
4770,46995
4770,46958
4769,46958
4770,46947
4770,47003
4767,46985
4769,46956
4766,46984
4768,46958
4770,46986
4771,46931
4770,46967
4771,46972
4768,46948
4769,46997
4770,46946
4769,46940
4770,46975
4770,46951
4770,46941
4768,46974
4770,46951
4770,46970
4768,46978
4769,46959
4768,46949
4766,46960
4768,46973
4770,46990
4771,46961
4770,46979
4769,46967
4771,46960
4768,46969
4769,46976
4770,46959
4769,46932
4770,46961
4771,46990
4771,46969
4770,46930
4771,46960
4770,46968
4771,46961
4770,46972
4770,46993
4771,46994
4768,46983
4767,46951
4769,46983
4769,46988
4769,46934
4771,46968
4770,46975
4771,46973
4770,46922
4771,46966
4769,46979
4771,47004
4770,46951
4771,46948
4770,46965
4768,46975
4768,46949
4770,46976
4769,46950
4771,46968
4772,46974
4768,46970
4770,46993
4769,46981
4771,46989
4771,46950
4771,46952
4771,46970
4770,46957
4769,46968
4770,46924
4769,46989
4770,46953
4770,46985
4770,46994
4770,46972
4770,46972
4771,46977
4771,46998
4769,46989
4769,46935
4771,46994
4769,46969
4770,46974
4770,47001
4769,46963
